#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population
126,Eswatini,"12,124",205,332,13,"7,986","3,806",67,"10,393",285,"109,783","94,108","1,166,563"
84,Kyrgyzstan,"82,587",92,"1,375",1,"78,358","2,854",50,"12,549",209,"619,064","94,064","6,581,283"
114,French Polynesia,"17,403",,124,,"4,842","12,437",19,"61,762",440,"26,355","93,532","281,776"
101,Namibia,"29,183",312,271,7,"25,408","3,504",33,"11,376",106,"233,517","91,030","2,565,281"
75,Venezuela,"117,299",,"1,078",,"111,175","5,046",91,"4,131",38,"2,450,838","86,319","28,392,650"
52,Dominican Republic,"186,383","1,595","2,428",1,"140,217","43,738",311,"17,090",223,"927,749","85,069","10,905,871"
77,Libya,"106,670",640,"1,629",7,"83,311","21,730",,"15,413",235,"585,577","84,609","6,920,951"
74,Paraguay,"117,590",,"2,437",,"93,258","21,895",182,"16,379",339,"592,028","82,465","7,179,146"
132,R̩union,"9,406",47,42,,"8,830",534,4,"10,466",47,"71,252","79,281","898,723"
197,Antigua and Barbuda,176,,5,,152,19,1,"1,789",51,"7,046","71,633","98,362"
42,Nepal,"266,143",445,"1,937",5,"259,772","4,434",,"9,048",66,"1,997,009","67,892","29,414,443"
206,New Caledonia,40,,,,40,0,,139,,"19,408","67,633","286,961"
94,Sri Lanka,"50,229",692,247,3,"43,267","6,715",,"2,340",12,"1,416,299","65,993","21,461,275"
32,Philippines,"492,700","1,453","9,699",146,"458,523","24,478",727,"4,465",88,"7,131,959","64,627","110,356,393"
199,Grenada,132,,1,,123,8,,"1,170",9,"6,781","60,114","112,802"
56,Tunisia,"164,936",,"5,343",,"120,999","38,594",359,"13,878",450,"704,961","59,318","11,884,490"
130,Rwanda,"9,950",,125,,"6,974","2,851",,758,10,"771,275","58,780","13,121,449"
151,Equatorial Guinea,"5,316",20,86,,"5,169",61,,"3,725",60,"80,437","56,363","1,427,129"
140,Trinidad and Tobago,"7,286",,128,,"6,883",275,3,"5,197",91,"76,763","54,756","1,401,914"
143,Guyana,"6,653",,170,,"6,047",436,3,"8,437",216,"42,132","53,428","788,581"
187,Seychelles,612,11,1,,326,285,,"6,202",10,"5,200","52,700","98,672"
141,Suriname,"7,178",,138,,"6,398",642,11,"12,178",234,"30,550","51,829","589,435"
122,Jamaica,"13,852",92,317,2,"11,568","1,967",7,"4,667",107,"148,431","50,009","2,968,080"
47,Ecuador,"224,315","1,748","14,229",33,"193,581","16,505",461,"12,612",800,"789,122","44,369","17,785,278"
40,Japan,"297,315","5,103","4,145",51,"229,073","64,097",900,"2,355",33,"5,531,305","43,806","126,268,399"
85,Uzbekistan,"77,716",53,618,1,"76,197",901,158,"2,304",18,"1,377,915","40,855","33,726,834"
100,Zambia,"31,100","1,343",509,14,"21,568","9,023",235,"1,667",27,"730,150","39,140","18,654,661"
55,Bolivia,"176,761","1,473","9,454",39,"139,672","27,635",71,"15,034",804,"458,005","38,954","11,757,645"
67,Guatemala,"145,986","1,004","5,117",37,"132,507","8,362",5,"8,070",283,"684,552","37,839","18,091,075"
70,Myanmar,"132,260",523,"2,902",24,"115,621","13,737",,"2,422",53,"2,055,757","37,648","54,604,588"
175,Sao Tome and Principe,"1,105",15,17,,990,98,,"4,993",77,"7,498","33,879","221,314"
72,Honduras,"129,805","1,104","3,294",9,"59,389","67,122",220,"12,996",330,"336,727","33,713","9,988,191"
160,Benin,"3,363",,46,,"3,222",95,,274,4,"400,805","32,611","12,290,391"
30,Pakistan,"508,824","2,123","10,772",55,"464,950","33,102","2,366","2,280",48,"7,202,076","32,273","223,162,240"
13,Mexico,"1,556,028","14,395","135,682","1,314","1,168,354","251,992","3,913","12,001","1,046","3,918,394","30,222","129,654,274"
20,Indonesia,"858,043","11,278","24,951",306,"703,464","129,628",,"3,119",91,"8,063,068","29,313","275,064,108"
117,Mauritania,"15,707",,392,,"13,835","1,480",57,"3,332",83,"132,738","28,158","4,714,003"
202,Fiji,53,,2,,47,4,,59,2,"21,925","24,363","899,913"
155,Togo,"4,045",,73,,"3,656",316,,483,9,"189,056","22,557","8,381,099"
90,Ghana,"56,421",,338,,"54,753","1,330",46,"1,796",11,"697,087","22,189","31,415,827"
192,Cambodia,398,6,,,376,22,,24,,"361,488","21,464","16,841,917"
27,Bangladesh,"524,910",890,"7,833",14,"469,522","47,555",,"3,170",47,"3,401,506","20,545","165,563,643"
80,Kenya,"98,432",,"1,716",,"81,255","15,461",32,"1,810",32,"1,097,647","20,178","54,396,899"
165,Guinea-Bissau,"2,478",,45,,"2,400",33,5,"1,244",23,"39,578","19,863","1,992,539"
145,Lesotho,"6,241",304,87,2,"1,585","4,569",,"2,901",40,"41,797","19,429","2,151,310"
128,Thailand,"10,991",157,67,,"6,943","3,981",1,157,1,"1,217,873","17,425","69,893,769"
110,Senegal,"21,883",198,489,9,"18,621","2,773",38,"1,289",29,"290,212","17,095","16,976,220"
98,Uganda,"38,085",137,304,1,"13,083","24,698",,819,7,"793,837","17,072","46,498,430"
73,Ethiopia,"129,455",463,"2,006",2,"114,567","12,882",210,"1,112",17,"1,864,567","16,010","116,464,570"
109,Zimbabwe,"23,239",,551,,"13,396","9,292",,"1,552",37,"231,845","15,479","14,977,836"
172,Vietnam,"1,521",1,35,,"1,369",117,,16,0.4,"1,431,631","14,638","97,805,557"
203,Timor-Leste,51,2,,,45,6,,38,,"17,834","13,392","1,331,738"
205,Laos,41,,,,40,1,,6,,"96,939","13,222","7,331,634"
142,Congo,"7,160",,112,,"5,846","1,202",,"1,281",20,"73,120","13,081","5,589,686"
157,Gambia,"3,885",9,125,,"3,679",81,1,"1,584",51,"31,277","12,754","2,452,363"
169,Liberia,"1,876",,84,,"1,697",95,2,366,16,"59,172","11,556","5,120,399"
107,Ivory Coast,"24,186",,140,,"22,740","1,306",,905,5,"283,759","10,619","26,722,574"
62,Egypt,"151,723",,"8,304",,"119,635","23,784",90,"1,468",80,"1,000,000","9,675","103,356,286"
108,Mozambique,"23,726",730,205,4,"18,282","5,239",,748,6,"295,222","9,308","31,715,849"
121,Guinea,"14,025",,81,,"13,255",689,24,"1,053",6,"112,043","8,411","13,320,219"
178,Burundi,"1,019",,2,,773,244,,84,0.2,"90,019","7,454","12,076,732"
152,CAR,"4,973",,63,,"4,885",25,2,"1,020",13,"35,523","7,288","4,874,274"
158,South Sudan,"3,670",,63,,"3,181",426,1,326,6,"80,036","7,106","11,263,567"
139,Mali,"7,687",,303,,"5,354","2,030",,374,15,"136,739","6,652","20,557,328"
170,Eritrea,"1,596",,6,,934,656,,447,2,"23,693","6,632","3,572,503"
204,Macao,46,,,,46,0,,70,,"4,238","6,480","654,039"
211,Solomon Islands,17,,,,10,7,,24,,"4,500","6,468","695,764"
181,Taiwan,842,4,7,,731,104,,35,0.3,"133,617","5,605","23,839,869"
92,Afghanistan,"53,774",84,"2,317",9,"44,850","6,607",693,"1,365",59,"219,861","5,581","39,391,241"
105,Cameroon,"27,336",,451,,"24,892","1,993",46,"1,016",17,"149,000","5,540","26,894,127"
112,Angola,"18,343",,422,,"15,512","2,409",17,549,13,"174,111","5,213","33,402,528"
133,Malawi,"9,400",373,254,19,"5,854","3,292",4,485,13,"97,429","5,025","19,390,294"
79,Nigeria,"102,601",,"1,373",,"81,574","19,654",10,491,7,"1,033,858","4,951","208,832,577"
183,Papua New Guinea,823,,9,,755,59,,91,1,"39,761","4,400","9,036,748"
129,Haiti,"10,415",,238,,"8,840","1,337",,908,21,"43,211","3,765","11,476,479"
113,Madagascar,"18,001",,267,,"17,447",287,16,641,10,"102,830","3,664","28,065,975"
156,Niger,"3,969",,135,,"2,507","1,327",3,161,5,"67,052","2,719","24,664,421"
168,Yemen,"2,107",,612,,"1,416",79,23,70,20,"17,404",577,"30,172,929"
"",,,,,,,,,,,,,
,Total:,"92,414,520","418,662","1,978,954","10,040","66,054,534","24,381,032","110,689","11,855.90",253.9,,,
